fips,year,total_subs_adj
55061,2013,5547891.03
55063,2013,2315417.504
55065,2013,15160172.7
55067,2013,1987023.031
55069,2013,1354454.758
55071,2013,7402243.512
55073,2013,11164471.34
55075,2013,3250988.732
55077,2013,3162912.004
55078,2013,2440.154341
55079,2013,147711.7464
55081,2013,5450431.48
55083,2013,6185882.226
55085,2013,291617.7082
55087,2013,9442819.369
55089,2013,1758263.913
55091,2013,2419933.168
55093,2013,7088698.663
55095,2013,6934003.58
55097,2013,5117472.42
55099,2013,556926.6996
55101,2013,3796473.463
55103,2013,4166299.188
55105,2013,13724224.28
55107,2013,2298627.53
55109,2013,9692920.206
55111,2013,7419870.417
55113,2013,869139.0964
55115,2013,7783807.664
55117,2013,4607588.257
55119,2013,4757396.61
55121,2013,6696066.057
55123,2013,5192698.74
55125,2013,57124.22718
55127,2013,8325902.934
55129,2013,1528155.218
55131,2013,3164562.318
55133,2013,2383562.025
55135,2013,5628274.852
55137,2013,3392780.964
55139,2013,4954899.278
55141,2013,4441213.611
55001,2012,3609657.921
55003,2012,423029.6709
55005,2012,11385456.44
55007,2012,425710.2128
55009,2012,8442110.702
55011,2012,6190795.158
55013,2012,1809085.813
55015,2012,5483825.556
55017,2012,11391693.31
55019,2012,10218666.46
55021,2012,11033387.33
55023,2012,3974311.466
55025,2012,21016694.61
55027,2012,14487510.88
55029,2012,4518970.456
55031,2012,69212.24386
55033,2012,10971557.97
55035,2012,5202018.12
55037,2012,61294.33538
55039,2012,11973619.43
55041,2012,70772.81847
55043,2012,19310853.07
55045,2012,12466798.99
55047,2012,3733735.541
55049,2012,10933161.11
55051,2012,69759.20464
55053,2012,5395391.547
55055,2012,8138513.825
55057,2012,5149793.133
55059,2012,3244430.284
55061,2012,6633602.236
55063,2012,2934528.165
55065,2012,17053863.9
55067,2012,2235918.164
55069,2012,1218335.61
55071,2012,9527350.351
55073,2012,14391626.7
55075,2012,3792470.881
55077,2012,3437042.958
55078,2012,2599.148959
55079,2012,148830.8507
55081,2012,6844304.77
55083,2012,7007037.54
55085,2012,260384.8047
55087,2012,10704348.1
55089,2012,2187566.396
55091,2012,3013953.599
55093,2012,8342513.918
55095,2012,8131687.667
55097,2012,5319741.662
55099,2012,660571.2663
55101,2012,4450112
55103,2012,5010691.456
55105,2012,15193075.09
55107,2012,2772402.043
55109,2012,10977178.43
55111,2012,9021755.647
55113,2012,909446.0192
55115,2012,9520461.25
55117,2012,5857964.095
55119,2012,5734762.264
55121,2012,8305146.947
55123,2012,6265382.594
55125,2012,53907.10909
55127,2012,9577614.31
55129,2012,1656442.515
55131,2012,3791038.364
55133,2012,2785859.015
55135,2012,7021527.66
55137,2012,3992217.92
55139,2012,5937845.33
55141,2012,5494659.503
55001,2011,3732846.959
55003,2011,151542.8357
55005,2011,9611998.788
55007,2011,238148.2326
55009,2011,6921389.584
55011,2011,4819029.622
55013,2011,1655445.73
55015,2011,3749378.341
55017,2011,9342698.921
55019,2011,6599489.361
55021,2011,10758418.57
55023,2011,3640079.664
55025,2011,18847046.63
55027,2011,11662758.25
55029,2011,3964058.212
55031,2011,78999.63247
55033,2011,9786872.686
55035,2011,4777037.919
55037,2011,41902.01539
55039,2011,8666859.928
55041,2011,61636.69869
55043,2011,17319008.81
55045,2011,10515502.48
55047,2011,3873245.229
55049,2011,9990072.492
55051,2011,65968.29724
55053,2011,4770148.551
55055,2011,7598873.965
55057,2011,5024194.813
55059,2011,3311404.122
55061,2011,4878967.785
55063,2011,2089038.524
55065,2011,18502661.3
55067,2011,1814359.591
55069,2011,907427.8218
55071,2011,6215180.681
55073,2011,9478182.067
55075,2011,3064078.924
55077,2011,3202780.873
55078,2011,2618.66835
55079,2011,175100.8855
55081,2011,5101017.574
55083,2011,6085141.929
55085,2011,290303.4695
55087,2011,9108377.377
55089,2011,1389038.025
55091,2011,2343006.171
55093,2011,7146193.127
55095,2011,7364809.304
55097,2011,4197043.294
55099,2011,286257.5439
55101,2011,4483906.509
55103,2011,3934524.283
55105,2011,15879233.95
55107,2011,2082669.569
55109,2011,10068536.21
55111,2011,7045239.863
55113,2011,1159352.575
55115,2011,6964790.828
55117,2011,3836866.224
55119,2011,4355626.085
55121,2011,7120758.272
55123,2011,4884002.493
55125,2011,60094.28642
55127,2011,9709747.643
55129,2011,1435088.941
55131,2011,2643905.005
55133,2011,2597798.726
55135,2011,5224046.267
55137,2011,3860446.419
55139,2011,5045211.703
55141,2011,3711403.774
55001,2010,3801451.122
55003,2010,445506.6525
55005,2010,11990403.83
55007,2010,448329.6206
55009,2010,8890668.285
55011,2010,6519732.815
55013,2010,1905208.594
55015,2010,5775199.552
55017,2010,11996972.08
55019,2010,10761618.39
55021,2010,11619628.11
55023,2010,4185479.929
55025,2010,22133381.9
55027,2010,15257280.8
55029,2010,4759078.473
55031,2010,72889.72191
55033,2010,11554513.55
55035,2010,5478418.745
55037,2010,64551.10846
55039,2010,12609817.89
55041,2010,74533.21507
55043,2010,20336903.3
55045,2010,13129201.73
55047,2010,3932121.4
55049,2010,11514076.53
55051,2010,73465.74455
55053,2010,5682066.749
55055,2010,8570940.29
55057,2010,5423418.869
55059,2010,3416817.719
55061,2010,6986067.714
55063,2010,3090449.463
55065,2010,17959992.73
55067,2010,2354719.975
55069,2010,1283069.857
55071,2010,10033570.35
55073,2010,15156301.97
55075,2010,3993977.546
55077,2010,3619664.548
55078,2010,2737.250439
55079,2010,156738.7317
55081,2010,7207965.578
55083,2010,7379344.885
55085,2010,274219.9204
55087,2010,11273105.92
55089,2010,2303799.117
55091,2010,3174095.036
55093,2010,8785779.591
55095,2010,8563751.436
55097,2010,5602397.332
55099,2010,695669.6274
55101,2010,4686561.337
55103,2010,5276926.255
55105,2010,16000334
55107,2010,2919709.038
55109,2010,11560432.64
55111,2010,9501111.705
55113,2010,957767.9286
55115,2010,10026315.2
55117,2010,6169217.324
55119,2010,6039469.368
55121,2010,8746427.187
55123,2010,6598283.33
55125,2010,56771.37413
55127,2010,10086505
55129,2010,1744454.848
55131,2010,3992468.915
55133,2010,2933881.024
55135,2010,7394604.914
55137,2010,4204337.813
55139,2010,6253342.916
55141,2010,5786609.144
54001,2019,44823
54003,2019,708392
54005,2019,8504
54007,2019,5659
